subject,session,AcqGroup
sub-A00053490,BAS1,1
sub-A00053475,BAS1,1
sub-A00053474,BAS1,1
sub-A00053456,BAS1,1
sub-A00053455,BAS1,1
sub-A00053390,TRT,1
sub-A00053390,BAS1,1
sub-A00053320,TRT,1
sub-A00053320,FLU2,1
sub-A00053320,FLU1,1
sub-A00053320,BAS1,1
sub-A00053203,TRT,1
sub-A00053203,FLU1,1
sub-A00053203,BAS1,1
sub-A00052234,FLU1,1
sub-A00052234,BAS2,1
sub-A00052214,BAS1,1
sub-A00052197,BAS1,1
sub-A00051835,BAS2,1
sub-A00051796,BAS1,1
sub-A00051774,BAS1,1
sub-A00051727,TRT,1
sub-A00051727,BAS1,1
sub-A00051726,BAS1,1
sub-A00051691,TRT,1
sub-A00051691,FLU2,1
sub-A00051691,FLU1,1
sub-A00051679,BAS1,1
sub-A00051678,BAS1,1
sub-A00051676,BAS1,1
sub-A00051658,BAS1,1
sub-A00051638,BAS1,1
sub-A00051604,BAS1,1
sub-A00051603,BAS1,1
sub-A00051548,BAS1,1
sub-A00051539,BAS1,1
sub-A00051529,BAS1,1
sub-A00051835,FLU1,1
sub-A00051882,BAS1,1
sub-A00051882,BAS2,1
sub-A00052126,BAS1,1
sub-A00052183,TRT,1
sub-A00052183,FLU2,1
sub-A00052183,FLU1,1
sub-A00052183,BAS1,1
sub-A00052182,TRT,1
sub-A00052182,FLU2,1
sub-A00052181,BAS2,1
sub-A00052165,BAS1,1
sub-A00052125,BAS1,1
sub-A00051882,FLU1,1
sub-A00052118,BAS1,1
sub-A00052117,BAS2,1
sub-A00052117,BAS1,1
sub-A00052070,BAS1,1
sub-A00052069,TRT,1
sub-A00052069,FLU1,1
sub-A00052069,BAS1,1
sub-A00051927,BAS1,1
sub-A00053578,BAS1,1
sub-A00053626,BAS1,1
sub-A00051517,BAS1,1
sub-A00055728,FLU2,1
sub-A00055727,FLU2,1
sub-A00055693,TRT,1
sub-A00055693,FLU2,1
sub-A00055624,FLU1,1
sub-A00055612,TRT,1
sub-A00055612,FLU2,1
sub-A00055612,FLU1,1
sub-A00055612,BAS1,1
sub-A00055542,BAS1,1
sub-A00055462,FLU2,1
sub-A00055462,FLU1,1
sub-A00055462,BAS1,1
sub-A00055446,BAS1,1
sub-A00055332,BAS1,1
sub-A00055262,TRT,1
sub-A00055262,FLU2,1
sub-A00055215,BAS1,1
sub-A00055122,TRT,1
sub-A00055727,TRT,1
sub-A00055738,BAS1,1
sub-A00053627,BAS1,1
sub-A00055763,BAS1,1
sub-A00055946,FLU1,1
sub-A00055921,TRT,1
sub-A00055921,FLU2,1
sub-A00055921,FLU1,1
sub-A00055920,FLU2,1
sub-A00055920,FLU1,1
sub-A00055908,FLU1,1
sub-A00055907,TRT,1
sub-A00055907,FLU2,1
sub-A00055907,BAS1,1
sub-A00055906,BAS1,1
sub-A00055903,TRT,1
sub-A00055903,BAS1,1
sub-A00055867,TRT,1
sub-A00055867,BAS1,1
sub-A00055866,TRT,1
sub-A00055832,FLU1,1
sub-A00055765,BAS1,1
sub-A00055763,BAS2,1
sub-A00055122,FLU2,1
sub-A00055122,FLU1,1
sub-A00055122,BAS1,1
sub-A00055076,TRT,1
sub-A00054153,FLU1,1
sub-A00054153,BAS2,1
sub-A00054153,BAS1,1
sub-A00054038,BAS1,1
sub-A00053949,BAS2,1
sub-A00053949,BAS1,1
sub-A00053927,BAS1,1
sub-A00053902,BAS1,1
sub-A00053901,BAS1,1
sub-A00053874,BAS1,1
sub-A00053873,TRT,1
sub-A00053873,FLU2,1
sub-A00053873,FLU1,1
sub-A00053873,BAS1,1
sub-A00053854,BAS1,1
sub-A00053851,BAS1,1
sub-A00053850,BAS1,1
sub-A00053744,TRT,1
sub-A00053744,BAS1,1
sub-A00054206,BAS1,1
sub-A00054206,FLU1,1
sub-A00054206,FLU2,1
sub-A00054581,FLU2,1
sub-A00055076,FLU1,1
sub-A00055061,BAS1,1
sub-A00054929,BAS1,1
sub-A00054895,FLU1,1
sub-A00054895,BAS2,1
sub-A00054857,BAS2,1
sub-A00054857,BAS1,1
sub-A00054621,BAS1,1
sub-A00054581,FLU1,1
sub-A00054358,BAS1,1
sub-A00054581,BAS1,1
sub-A00054578,TRT,1
sub-A00054578,BAS1,1
sub-A00054534,BAS1,1
sub-A00054533,BAS1,1
sub-A00054504,BAS1,1
sub-A00054482,BAS1,1
sub-A00054441,BAS1,1
sub-A00051514,BAS1,1
sub-A00055946,TRT,1
sub-A00038806,BAS2,1
sub-A00038623,FLU1,1
sub-A00038623,BAS2,1
sub-A00038424,BAS2,1
sub-A00038414,FLU1,1
sub-A00038414,BAS2,1
sub-A00037848,BAS2,1
sub-A00037817,FLU1,1
sub-A00037817,BAS2,1
sub-A00037522,FLU1,1
sub-A00037522,BAS2,1
sub-A00037511,BAS2,1
sub-A00037457,FLU1,1
sub-A00037457,BAS2,1
sub-A00037267,FLU1,1
sub-A00037267,BAS2,1
sub-A00037126,TRT,1
sub-A00037126,BAS2,1
sub-A00038642,BAS2,1
sub-A00038806,FLU1,1
sub-A00040285,BAS2,1
sub-A00039277,BAS2,1
sub-A00040117,FLU2,1
sub-A00039975,BAS2,1
sub-A00039951,BAS2,1
sub-A00039846,FLU1,1
sub-A00039846,BAS2,1
sub-A00039820,FLU1,1
sub-A00039820,BAS2,1
sub-A00039758,FLU1,1
sub-A00039758,BAS2,1
sub-A00039685,BAS2,1
sub-A00039593,FLU1,1
sub-A00039593,BAS2,1
sub-A00039560,FLU1,1
sub-A00039560,BAS2,1
sub-A00039391,FLU1,1
sub-A00039391,BAS2,1
sub-A00039353,BAS2,1
sub-A00037112,BAS2,1
sub-A00035945,TRT,1
sub-A00035945,FLU1,1
sub-A00035840,BAS2,1
sub-A00031881,FLU2,1
sub-A00031881,FLU1,1
sub-A00031794,BAS2,1
sub-A00031452,FLU1,1
sub-A00031452,BAS2,1
sub-A00031219,BAS2,1
sub-A00030989,BAS2,1
sub-A00030947,BAS2,1
sub-A00028754,BAS2,1
sub-A00028753,BAS2,1
sub-A00028352,BAS2,1
