scanid,oldpnc
3668,7.756144375129069
6115,7.068347085806557
4449,7.109895292682425
5261,7.296629087305471
3934,7.812299650891451
8419,7.841928252096555
6002,7.53228854988712
3500,7.356418398072957
4127,7.589514466258648
6254,7.956096378331546
3973,6.996433575637925
4343,7.611057108794379
5023,6.933650806922493
5748,7.613890169252675
4817,6.569796533363423
3898,7.7396926419679355
4138,5.156877948761778
4943,8.913514560902591
6239,5.988423063260486
6086,4.967586091247215
4685,7.624227824235639
4639,7.444621448290579
5595,3.0596874276315438
4988,4.213996775351021
3681,7.829798126628828
5512,5.177299061750793
5015,5.768777564148322
5150,8.209558409625085
4708,5.510348845227469
4373,7.00399714592323
4331,6.232926000480609
3960,7.096254484839263
4245,5.545562445964404
6221,7.525254380513252
4252,6.1140236366121155
4897,7.679604329928822
3957,6.341822711044851
4414,7.644515616697549
3793,8.218234067923243
5226,6.552179801446998
